sex,occupation,count
Male,Managers ,6787.00
Male,Professionals,8667.00
Male,Technicians and trades workers,20500.00
Male,Community and personal service workers,8967.00
Male,Clerical and administrative workers,4984.00
Male,Sales workers,4805.00
Male,Machinery operators and drivers,14497.00
Male,Labourers,18545.00
Female,Managers ,5668.00
Female,Professionals,15065.00
Female,Technicians and trades workers,3645.00
Female,Community and personal service workers,21560.00
Female,Clerical and administrative workers,17846.00
Female,Sales workers,10833.00
Female,Machinery operators and drivers,1845.00
Female,Labourers,8790.00