state_territory,total_indigenous,count_of_aboriginal,count_of_torres_strait_islander,count_of_both
Australian Capital Territory,6508.00,6140.00,183.00,183.00
New South Wales,216176.00,207256.00,4839.00,4080.00
Northern Territory,58248.00,55805.00,744.00,1699.00
Queensland,186482.00,148943.00,21053.00,165.00
South Australia,34184.00,32616.00,938.00,629.00
Tasmania,23572.00,21570.00,1119.00,889.00
Victoria,47788.00,44592.00,2024.00,1171.00
Western Australia,75978.00,72924.00,1434.00,1628.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,